YTID, start_seconds, end_seconds, positive_labels
q6JtsiQp-5I, 30.0, 40.0, /m/04rlf
eSdIDzYl4K0, 360.0, 370.0, /m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y
GtBsBYrpm0E, 30.0, 40.0, /m/09t49,/m/09x0r
yW7UkXE2Agg, 30.0, 40.0, /m/09x0r
_eIoUd0BNBk, 450.0, 460.0, /m/028ght,/m/04rlf
mOH8DEjnpHA, 30.0, 40.0, /m/09x0r
eNH2pXm5wSc, 30.0, 40.0, /m/04rlf,/m/09x0r
zFXpRMCAhn8, 20.0, 30.0, /m/015lz1,/m/04rlf
QY7b9WDqH5M, 390.0, 400.0, /m/012f08,/m/04_sv,/m/07yv9
zJ7xCLswnUo, 30.0, 40.0, /m/09x0r
qhiApEswlZI, 30.0, 40.0, /m/09x0r
1Il5hs6u_dU, 30.0, 40.0, /m/026z9,/m/02x8m,/m/04rlf
GYh4k5iBas0, 30.0, 40.0, /m/02lkt,/m/04rlf,/m/07gxw
4uOHFbR67VA, 210.0, 220.0, /m/02jz0l,/m/0838f
wpRdG_TtqN4, 30.0, 40.0, /m/04rlf,/m/09x0r
bmiukCMuuks, 30.0, 40.0, /m/04rlf
87VhRBRoU2U, 30.0, 40.0, /m/09x0r
6pygiflLD3g, 560.0, 570.0, /m/06_y0by
zcfG_D5y21E, 100.0, 110.0, /m/04rlf,/m/07rkbfh,/m/09x0r,/m/0ytgt,/t/dd00127
9Dqg4pchfTw, 30.0, 40.0, /m/09x0r
OoabVM4DokQ, 30.0, 40.0, /m/02lkt,/m/04rlf,/m/07s72n
1Gq2qR-l7Q8, 30.0, 40.0, /m/09x0r
Ef9gSc30q6U, 0.0, 10.0, /m/04rlf
0WKWr6tCRV4, 30.0, 40.0, /m/04rlf,/m/06bz3,/m/09x0r
-9Cbzi7dFoQ, 30.0, 40.0, /m/07q2z82,/m/07yv9,/m/0k4j
w5yZMYdnEsU, 20.0, 30.0, /m/0395lw
WfFy-k3Sf6s, 1.0, 11.0, /m/09x0r
NU1YaKJsH8k, 30.0, 40.0, /m/015y_n,/m/04rlf,/m/0glt670
PR1MH8Qf_xw, 30.0, 40.0, /m/09x0r,/t/dd00018
gYqBLmt2beM, 20.0, 30.0, /m/04rlf,/m/09x0r
QFG-fA7w79w, 30.0, 40.0, /m/04rlf,/m/09x0r
hbonGUWXvJM, 30.0, 40.0, /m/04rlf,/m/09x0r
QAn690YALJc, 170.0, 180.0, /m/04rlf,/m/0gywn
VGoTYABqlkc, 20.0, 30.0, /m/025td0t,/m/04rlf
0aiuQvHT9Ig, 30.0, 40.0, /m/02cjck,/m/04rlf,/t/dd00031
GG2Iab4QoQM, 30.0, 40.0, /m/04rlf,/m/09x0r
mmRJxAE5Dps, 20.0, 30.0, /m/02x984l,/m/09x0r
-gwX9V4EEZc, 30.0, 40.0, /m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j
6QhUO-A_cKE, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07y_7
D6I7FL6WRlw, 30.0, 40.0, /m/02qldy,/m/05zppz,/m/09x0r
E7x6oAi3LuE, 0.0, 10.0, /m/07r5v4s
NH50n-RXj0I, 30.0, 40.0, /m/07yv9,/m/0k4j
4wJ33acy5G8, 30.0, 40.0, /m/09x0r
RvIc0aWXEKY, 30.0, 40.0, /m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j
Nl7fcpEOKVA, 30.0, 40.0, /m/068hy
dtJW8i4LS48, 30.0, 40.0, /m/09x0r
jKroaJvh6yc, 560.0, 570.0, /m/04rlf,/m/09x0r,/t/dd00125
9lXaB39jw9E, 30.0, 40.0, /m/04rlf
tViWATLxdII, 0.0, 10.0, /m/03k3r,/m/0jbk
_h1j4SK1Szc, 2.0, 12.0, /m/04rlf,/m/0chx_
3MZfzJ76jfs, 30.0, 40.0, /m/09x0r
0KvZMyyNHHM, 30.0, 40.0, /m/04rlf,/m/07c52,/m/09x0r
5S-ZVw22DN0, 30.0, 40.0, /m/04rlf,/m/0l14gg
J2lwWP7cPxY, 40.0, 50.0, /m/0k65p,/m/0l15bq
XJJl29UQWG0, 30.0, 40.0, /t/dd00128
1N9CyRG0vHg, 27.0, 37.0, /m/09x0r
-ttnCodyUPY, 30.0, 40.0, /m/04rlf
NdylgcBiozg, 30.0, 40.0, /m/09x0r
0xzF3u431EU, 30.0, 40.0, /m/09x0r
RYRO9XiAmlA, 30.0, 40.0, /m/015p6,/m/09x0r
mNd2Zh3dYLQ, 90.0, 100.0, /m/034srq,/m/05kq4,/m/09x0r
v84150tRMQw, 40.0, 50.0, /m/0283d,/m/04rlf,/m/09x0r
2Ek0X2kuu8w, 30.0, 40.0, /m/09x0r
-DvOqtapXNk, 30.0, 40.0, /m/04rlf,/m/09x0r
ukhyB57vgiw, 30.0, 40.0, /m/09x0r
1F9CJbbUXOc, 30.0, 40.0, /m/04rlf,/m/09x0r
9eBwDzJm7_0, 100.0, 110.0, /m/04rlf,/m/0gywn
NDaPAvC1r8w, 90.0, 100.0, /m/09x0r,/m/0ytgt,/t/dd00126
lldpA1Ad0JQ, 30.0, 40.0, /m/04rlf
D-g6KR-WDww, 30.0, 40.0, /m/04rlf
XnAtnAQjxzU, 0.0, 3.0, /m/04rlf,/m/09x0r
caqU8YPohWg, 350.0, 360.0, /m/09x0r
OyiBnTKQglU, 30.0, 40.0, /m/09x0r
7ldtqPRfG70, 21.0, 31.0, /m/04rlf,/m/09x0r
EdEqSAIrpDM, 270.0, 280.0, /t/dd00127
fALuxHsTIoE, 15.0, 25.0, /m/09x0r
tJHmgzp1_74, 30.0, 40.0, /m/04rlf
8QccpADUe2w, 30.0, 40.0, /m/07yv9
CWSYnpDCRy8, 30.0, 40.0, /m/04rlf
1XFEdp0vqcw, 280.0, 290.0, /m/04rlf,/m/0glt670
A73zU02JJEk, 30.0, 40.0, /m/09x0r
f-P3YUOrsN4, 430.0, 440.0, /m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128
6eYfNasXN7A, 30.0, 40.0, /m/09x0r
Jpxa--G37Zg, 30.0, 40.0, /m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t
lNgw4BVrWs0, 30.0, 40.0, /m/019jd,/m/056ks2,/m/07yv9
HCjrbGkCWro, 20.0, 30.0, /m/03qtwd,/m/04rlf
5AWmRABVrM4, 50.0, 60.0, /m/015y_n,/m/04rlf
Z-6_INRrhho, 30.0, 40.0, /m/04rlf,/m/04szw,/m/07y_7,/m/0l14j_
9ZSINvBtQfg, 30.0, 40.0, /m/04rlf
98T3UGOvJsE, 30.0, 40.0, /m/09x0r
x32P3eiZDkc, 170.0, 180.0, /m/09x0r
B_coKcObwB4, 30.0, 40.0, /m/04rlf,/m/09x0r
uUq9-IJ0HU8, 210.0, 220.0, /m/07yv9,/m/09x0r
-gNqA0ZzTy0, 230.0, 240.0, /m/09x0r
CqaE3QfaFzo, 340.0, 350.0, /m/02qldy
4FmKkkcFNkc, 30.0, 40.0, /m/04rlf,/m/09x0r
cbrlAURFIaw, 30.0, 40.0, /m/09x0r
2RzGDH35kpI, 21.0, 31.0, /m/04rlf,/m/09x0r
AeS7NfCxqbY, 13.0, 23.0, /m/03j1ly,/m/07r04,/m/07yv9,/m/09x0r
4AzCI7kX64M, 30.0, 40.0, /t/dd00004,/t/dd00005
6OiMNYnT2-I, 23.0, 33.0, /m/07p6mqd,/m/0838f,/m/09x0r
BZrfxSn1Oy4, 30.0, 40.0, /m/04rlf,/m/09x0r
cRDhugPLNKo, 30.0, 40.0, /m/02mscn,/m/04rlf,/m/06bxc
eJT1R4BXVMA, 30.0, 40.0, /m/04rlf
auWad8wxESs, 20.0, 30.0, /m/046dlr,/m/09x0r
l1vZQ197cT8, 140.0, 150.0, /m/09x0r
Wi5AsML0TmY, 340.0, 350.0, /m/07yv9,/m/09x0r,/m/0k4j
HxAQ5ospeMg, 30.0, 40.0, /m/04rlf
